Date,Price,Log_Price,Delta_Log_Price
1994-06-30,1269.3399658203125,7.14625233240306,-0.022150368524148867
1994-09-30,1285.780029296875,7.159120839853319,0.012868507450258804
1994-12-31,1274.4100341796875,7.150238632214942,-0.008882207638377437
1995-03-31,1388.449951171875,7.2359432608482885,0.08570462863334694
1995-06-30,1506.1500244140625,7.317312021203137,0.08136876035484875
1995-09-30,1616.760009765625,7.388179431596001,0.07086741039286348
1995-12-31,1693.2099609375,7.434381391536091,0.04620195994009002
1996-03-31,1814.1400146484375,7.503366813279911,0.06898542174381994
1996-06-30,1843.550048828125,7.51944836611399,0.016081552834079638
1996-09-30,1858.1300048828125,7.52732588726118,0.00787752114718998
1996-12-31,2025.8299560546875,7.613734750414907,0.08640886315372676
1997-03-31,2061.43994140625,7.63116001827908,0.017425267864172866
1997-06-30,2360.260009765625,7.766527065580489,0.13536704730140947
1997-09-30,2539.530029296875,7.839734315056944,0.07320724947645463
1997-12-31,2607.3701171875,7.866097374392695,0.026363059335751338
1998-03-31,2863.840087890625,7.959918691287971,0.09382131689527551
1998-06-30,2877.81005859375,7.964784887560456,0.00486619627248519
1998-09-30,2510.699951171875,7.828316858258925,-0.1364680293015308
1998-12-31,2870.830078125,7.962356492763466,0.13403963450454093
1999-03-31,2981.06005859375,8.00003424060486,0.03767774784139366
1999-06-30,3262.989990234375,8.090399228931359,0.09036498832649897
1999-09-30,3013.010009765625,8.010694861317157,-0.07970436761420174
1999-12-31,3214.3798828125,8.075389735583054,0.06469487426589637
2000-03-31,3081.14990234375,8.03305815120855,-0.04233158437450335
2000-06-30,2990.840087890625,8.003309592770927,-0.02974855843762292
2000-09-30,3173.9599609375,8.062735286305308,0.0594256935343811
2000-12-31,3317.610107421875,8.106999955534077,0.04426466922876848
2001-03-31,3059.969970703125,8.026160381402564,-0.0808395741315131
2001-06-30,3142.75,8.05285349179494,0.026693110392375985
2001-09-30,2599.47998046875,7.863066696493385,-0.18978679530155507
2001-12-31,2892.22998046875,7.969783103100532,0.10671640660714754
2002-03-31,3045.919921875,8.021558243508414,0.05177514040788189
2002-06-30,2743.760009765625,7.917084525022977,-0.10447371848543696
2002-09-30,2212.139892578125,7.701715603218504,-0.21536892180447342
